Year,Event_Count,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity
2010,4,13.75,25,0.17516941222231577,0.4567433709677395
2015,1,5.0,5,0.0158709148387117,0.0368145483870954
2016,3,10.333333333333334,15,0.14470451021545985,0.3875133709677385
2017,1,6.0,6,0.1148459473118273,0.2394576935483883
2019,1,35.0,35,0.2293891580645162,0.5341625645161301
2020,4,14.5,24,0.20050562742935069,0.8421781741935526
2021,4,7.25,9,0.15617198118095393,0.5335736806451585
2022,6,9.166666666666666,14,0.14333675285330313,0.4335852096774175
2023,4,14.0,26,0.0920615250858087,0.3443401096774181
2024,8,22.875,53,0.1917696499860494,0.9075480967741923
2025,4,17.0,34,0.14013658386779718,0.3363916258064527
