Year,Event_Count,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity
2006,1,6.0,6,0.0699810010752699,0.1418800064516148
2008,1,6.0,6,0.0242448462365576,0.0560024935483873
2009,1,7.0,7,0.0863886460829489,0.1618855193548363
2010,1,7.0,7,0.054277692626728,0.1173279161290352
2014,1,9.0,9,0.2710513136200683,0.4585283129032298
2016,3,14.333333333333334,23,0.14071155678666028,0.4010841774193601
2017,1,7.0,7,0.146624434914126,0.206155082352943
2018,1,9.0,9,0.2611873598566328,0.4352090129032291
2019,2,10.5,15,0.1966365004301079,0.6210531838709628
2020,5,13.2,21,0.21268835985407047,0.659075399999999
2021,7,11.857142857142858,23,0.13251243166423513,0.4772617741935505
2022,3,11.0,14,0.34038513767933093,0.791831138709675
2023,8,12.5,31,0.15402670725246934,0.4868632516129096
2024,6,17.333333333333332,49,0.18087700274134458,0.9121927741935528
2025,8,17.25,61,0.1732882388506369,0.4836931387096754
