Year,Event_Count,Mean_Duration,Max_Duration,Mean_Intensity,Max_Intensity
2010,5,7.2,11,0.09639123573327736,0.2916165709677436
2015,4,19.0,39,0.09167099246756083,0.3434494935483911
2016,2,23.5,32,0.19145057566532236,0.4409555774193521
2017,1,5.0,5,0.0386395929032296,0.0686327709677456
2019,4,10.5,16,0.16149143750720002,0.3614551580645155
2020,2,22.0,32,0.25672375386424773,0.5959445129032268
2021,1,9.0,9,0.1561603580645159,0.4482937419354798
2023,2,16.5,24,0.12618217889784944,0.3584447709677434
2024,6,46.166666666666664,81,0.24009223293634288,0.9428967677419352
2025,1,6.0,6,0.0880718720430101,0.1541723838709714
